Date,Zone,Count,CEP,Location,Category
2020-09-05,Setor Leste Universitário ,464,74603-067,"-16.6888789,-49.2434537",Confirmed
2020-09-06,Setor Leste Universitário ,498,74603-067,"-16.6888789,-49.2434537",Confirmed
2020-09-07,Setor Leste Universitário ,498,74603-067,"-16.6888789,-49.2434537",Confirmed
2020-09-08,Setor Leste Universitário ,498,74603-067,"-16.6888789,-49.2434537",Confirmed
2020-09-09,Setor Leste Universitário ,498,74603-067,"-16.6888789,-49.2434537",Confirmed
2020-09-10,Setor Leste Universitário ,498,74603-067,"-16.6888789,-49.2434537",Confirmed
2020-09-11,Setor Leste Universitário ,498,74603-067,"-16.6888789,-49.2434537",Confirmed
2020-09-14,Setor Leste Universitário ,552,74603-067,"-16.6888789,-49.2434537",Confirmed
2020-09-15,Setor Leste Universitário ,552,74603-067,"-16.6888789,-49.2434537",Confirmed
2020-09-16,Setor Leste Universitário ,593,74603-067,"-16.6888789,-49.2434537",Confirmed
2020-09-17,Setor Leste Universitário ,593,74603-067,"-16.6888789,-49.2434537",Confirmed
2020-05-02,Setor Negrão de Lima ,8,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-04-29,Setor Negrão de Lima ,6,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-04-30,Setor Negrão de Lima ,6,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-03,Setor Negrão de Lima ,8,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-11,Setor Negrão de Lima ,12,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-16,Setor Negrão de Lima ,13,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-17,Setor Negrão de Lima ,13,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-18,Setor Negrão de Lima ,13,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-21,Setor Negrão de Lima ,14,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-01,Setor Negrão de Lima ,6,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-04,Setor Negrão de Lima ,8,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-05,Setor Negrão de Lima ,8,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-06,Setor Negrão de Lima ,8,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-07,Setor Negrão de Lima ,8,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-08,Setor Negrão de Lima ,8,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-09,Setor Negrão de Lima ,8,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-10,Setor Negrão de Lima ,8,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-12,Setor Negrão de Lima ,12,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-13,Setor Negrão de Lima ,12,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-14,Setor Negrão de Lima ,13,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-15,Setor Negrão de Lima ,13,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-19,Setor Negrão de Lima ,13,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-20,Setor Negrão de Lima ,14,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-22,Setor Negrão de Lima ,14,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-23,Setor Negrão de Lima ,15,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-24,Setor Negrão de Lima ,17,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-25,Setor Negrão de Lima ,16,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-26,Setor Negrão de Lima ,17,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-27,Setor Negrão de Lima ,16,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-28,Setor Negrão de Lima ,21,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-29,Setor Negrão de Lima ,21,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-30,Setor Negrão de Lima ,21,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-31,Setor Negrão de Lima ,22,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-01,Setor Negrão de Lima ,22,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-02,Setor Negrão de Lima ,22,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-03,Setor Negrão de Lima ,23,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-04,Setor Negrão de Lima ,23,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-05,Setor Negrão de Lima ,26,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-06,Setor Negrão de Lima ,26,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-07,Setor Negrão de Lima ,27,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-08,Setor Negrão de Lima ,27,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-09,Setor Negrão de Lima ,27,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-10,Setor Negrão de Lima ,29,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-11,Setor Negrão de Lima ,29,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-12,Setor Negrão de Lima ,29,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-13,Setor Negrão de Lima ,30,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-15,Setor Negrão de Lima ,30,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-16,Setor Negrão de Lima ,30,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-17,Setor Negrão de Lima ,30,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-18,Setor Negrão de Lima ,30,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-19,Setor Negrão de Lima ,30,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-20,Setor Negrão de Lima ,30,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-21,Setor Negrão de Lima ,39,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-22,Setor Negrão de Lima ,39,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-23,Setor Negrão de Lima ,48,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-24,Setor Negrão de Lima ,54,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-25,Setor Negrão de Lima ,54,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-26,Setor Negrão de Lima ,57,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-28,Setor Negrão de Lima ,57,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-29,Setor Negrão de Lima ,64,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-06-30,Setor Negrão de Lima ,65,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-13,Setor Negrão de Lima ,66,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-14,Setor Negrão de Lima ,66,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-15,Setor Negrão de Lima ,66,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-16,Setor Negrão de Lima ,87,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-17,Setor Negrão de Lima ,92,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-18,Setor Negrão de Lima ,92,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-19,Setor Negrão de Lima ,92,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-20,Setor Negrão de Lima ,95,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-21,Setor Negrão de Lima ,95,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-22,Setor Negrão de Lima ,98,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-23,Setor Negrão de Lima ,98,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-24,Setor Negrão de Lima ,98,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-25,Setor Negrão de Lima ,98,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-27,Setor Negrão de Lima ,98,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-28,Setor Negrão de Lima ,98,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-29,Setor Negrão de Lima ,98,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-30,Setor Negrão de Lima ,98,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-31,Setor Negrão de Lima ,105,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-01,Setor Negrão de Lima ,65,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-02,Setor Negrão de Lima ,66,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-03,Setor Negrão de Lima ,66,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-04,Setor Negrão de Lima ,66,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-06,Setor Negrão de Lima ,66,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-07,Setor Negrão de Lima ,66,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-08,Setor Negrão de Lima ,66,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-09,Setor Negrão de Lima ,66,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-07-10,Setor Negrão de Lima ,66,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-25,Setor Negrão de Lima ,208,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-26,Setor Negrão de Lima ,208,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-27,Setor Negrão de Lima ,208,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-28,Setor Negrão de Lima ,208,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-31,Setor Negrão de Lima ,244,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-01,Setor Negrão de Lima ,105,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-02,Setor Negrão de Lima ,105,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-03,Setor Negrão de Lima ,105,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-04,Setor Negrão de Lima ,122,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-05,Setor Negrão de Lima ,122,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-06,Setor Negrão de Lima ,122,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-07,Setor Negrão de Lima ,122,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-08,Setor Negrão de Lima ,147,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-09,Setor Negrão de Lima ,147,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-10,Setor Negrão de Lima ,147,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-11,Setor Negrão de Lima ,147,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-12,Setor Negrão de Lima ,161,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-13,Setor Negrão de Lima ,161,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-14,Setor Negrão de Lima ,161,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-17,Setor Negrão de Lima ,194,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-18,Setor Negrão de Lima ,194,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-19,Setor Negrão de Lima ,194,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-20,Setor Negrão de Lima ,208,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-21,Setor Negrão de Lima ,208,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-22,Setor Negrão de Lima ,208,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-23,Setor Negrão de Lima ,208,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-08-24,Setor Negrão de Lima ,208,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-01,Setor Negrão de Lima ,256,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-02,Setor Negrão de Lima ,256,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-03,Setor Negrão de Lima ,256,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-04,Setor Negrão de Lima ,260,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-05,Setor Negrão de Lima ,260,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-06,Setor Negrão de Lima ,269,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-07,Setor Negrão de Lima ,269,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-08,Setor Negrão de Lima ,269,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-09,Setor Negrão de Lima ,269,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-10,Setor Negrão de Lima ,269,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-11,Setor Negrão de Lima ,269,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-14,Setor Negrão de Lima ,289,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-15,Setor Negrão de Lima ,289,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-16,Setor Negrão de Lima ,309,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-09-17,Setor Negrão de Lima ,309,74650-192,"-16.6570704,-49.2480821",Confirmed
2020-05-02,Setor Central ,7,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-04-29,Setor Central ,7,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-04-30,Setor Central ,7,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-03,Setor Central ,7,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-11,Setor Central ,11,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-16,Setor Central ,16,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-17,Setor Central ,16,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-18,Setor Central ,17,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-21,Setor Central ,20,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-01,Setor Central ,7,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-04,Setor Central ,7,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-05,Setor Central ,8,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-06,Setor Central ,8,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-07,Setor Central ,8,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-08,Setor Central ,9,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-09,Setor Central ,9,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-10,Setor Central ,9,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-12,Setor Central ,11,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-13,Setor Central ,12,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-14,Setor Central ,13,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-15,Setor Central ,16,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-19,Setor Central ,17,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-20,Setor Central ,18,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-22,Setor Central ,20,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-23,Setor Central ,25,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-24,Setor Central ,25,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-25,Setor Central ,25,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-26,Setor Central ,31,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-27,Setor Central ,25,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-28,Setor Central ,35,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-29,Setor Central ,46,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-30,Setor Central ,46,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-31,Setor Central ,46,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-01,Setor Central ,47,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-02,Setor Central ,47,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-03,Setor Central ,54,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-04,Setor Central ,54,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-05,Setor Central ,57,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-06,Setor Central ,57,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-07,Setor Central ,60,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-08,Setor Central ,60,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-09,Setor Central ,60,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-10,Setor Central ,63,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-11,Setor Central ,63,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-12,Setor Central ,63,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-13,Setor Central ,66,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-15,Setor Central ,66,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-16,Setor Central ,68,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-17,Setor Central ,68,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-18,Setor Central ,68,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-19,Setor Central ,68,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-20,Setor Central ,68,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-21,Setor Central ,84,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-22,Setor Central ,84,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-23,Setor Central ,94,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-24,Setor Central ,96,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-25,Setor Central ,96,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-26,Setor Central ,106,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-28,Setor Central ,106,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-29,Setor Central ,124,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-06-30,Setor Central ,127,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-13,Setor Central ,135,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-14,Setor Central ,135,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-15,Setor Central ,135,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-16,Setor Central ,196,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-17,Setor Central ,132,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-18,Setor Central ,132,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-19,Setor Central ,132,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-20,Setor Central ,137,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-21,Setor Central ,137,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-22,Setor Central ,141,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-23,Setor Central ,141,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-24,Setor Central ,141,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-25,Setor Central ,141,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-27,Setor Central ,141,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-28,Setor Central ,141,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-29,Setor Central ,141,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-30,Setor Central ,141,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-31,Setor Central ,330,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-01,Setor Central ,127,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-02,Setor Central ,135,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-03,Setor Central ,135,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-04,Setor Central ,135,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-06,Setor Central ,135,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-07,Setor Central ,135,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-08,Setor Central ,135,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-09,Setor Central ,135,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-07-10,Setor Central ,135,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-25,Setor Central ,560,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-26,Setor Central ,560,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-27,Setor Central ,560,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-28,Setor Central ,560,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-31,Setor Central ,642,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-01,Setor Central ,330,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-02,Setor Central ,330,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-03,Setor Central ,330,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-04,Setor Central ,364,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-05,Setor Central ,364,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-06,Setor Central ,364,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-07,Setor Central ,364,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-08,Setor Central ,429,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-09,Setor Central ,429,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-10,Setor Central ,429,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-11,Setor Central ,429,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-12,Setor Central ,479,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-13,Setor Central ,479,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-14,Setor Central ,479,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-17,Setor Central ,520,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-18,Setor Central ,520,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-19,Setor Central ,520,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-20,Setor Central ,560,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-21,Setor Central ,560,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-22,Setor Central ,560,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-23,Setor Central ,560,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-08-24,Setor Central ,560,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-01,Setor Central ,700,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-02,Setor Central ,700,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-03,Setor Central ,700,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-04,Setor Central ,709,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-05,Setor Central ,709,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-06,Setor Central ,771,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-07,Setor Central ,771,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-08,Setor Central ,771,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-09,Setor Central ,771,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-10,Setor Central ,771,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-11,Setor Central ,771,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-14,Setor Central ,853,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-15,Setor Central ,853,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-16,Setor Central ,887,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-09-17,Setor Central ,887,74013-010,"-16.6786714,-49.2570942",Confirmed
2020-05-02,Jd. Novo Mundo ,7,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-04-29,Jd. Novo Mundo ,5,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-04-30,Jd. Novo Mundo ,6,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-03,Jd. Novo Mundo ,7,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-11,Jd. Novo Mundo ,11,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-16,Jd. Novo Mundo ,16,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-17,Jd. Novo Mundo ,16,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-18,Jd. Novo Mundo ,17,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-21,Jd. Novo Mundo ,20,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-01,Jd. Novo Mundo ,6,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-04,Jd. Novo Mundo ,7,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-05,Jd. Novo Mundo ,8,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-06,Jd. Novo Mundo ,8,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-07,Jd. Novo Mundo ,8,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-08,Jd. Novo Mundo ,9,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-09,Jd. Novo Mundo ,9,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-10,Jd. Novo Mundo ,9,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-12,Jd. Novo Mundo ,11,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-13,Jd. Novo Mundo ,14,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-14,Jd. Novo Mundo ,15,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-15,Jd. Novo Mundo ,16,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-19,Jd. Novo Mundo ,19,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-20,Jd. Novo Mundo ,19,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-22,Jd. Novo Mundo ,20,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-23,Jd. Novo Mundo ,23,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-24,Jd. Novo Mundo ,25,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-25,Jd. Novo Mundo ,25,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-26,Jd. Novo Mundo ,27,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-27,Jd. Novo Mundo ,25,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-28,Jd. Novo Mundo ,28,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-29,Jd. Novo Mundo ,28,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-30,Jd. Novo Mundo ,28,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-05-31,Jd. Novo Mundo ,33,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-06-01,Jd. Novo Mundo ,37,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-06-02,Jd. Novo Mundo ,37,74705-205,"-16.6724924,-49.2253547",Confirmed
2020-06-03,Jd. Novo Mundo ,39,74705-205,"-16.6724924,-49.2253547",Confirmed
