Conjunto Vera Cruz ,Jardim América ,Jd. Balneário Meia Ponte ,Jd. Curitiba ,Jd. Goiás ,Jd. Guanabara ,Jd. Nova Esperanca ,Jd. Novo Mundo ,Parque Amazônia ,Setor Bueno ,Setor Central ,Setor Leste Universitário ,Setor Marista ,Setor Oeste ,Setor Pedro Ludovico ,Setor Urias Magalhaes ,Vila Itatiaia ,Vila Jardim São Judas Tadeu 
266.0,554.0,204.0,238.0,365.0,399.0,241.0,485.0,399.0,913.0,429.0,331.0,234.0,578.0,383.0,212.0,66.0,76.0
266.0,554.0,204.0,238.0,365.0,399.0,241.0,485.0,399.0,913.0,429.0,331.0,234.0,578.0,383.0,212.0,66.0,76.0
266.0,554.0,204.0,238.0,365.0,399.0,241.0,485.0,399.0,913.0,429.0,331.0,234.0,578.0,383.0,212.0,66.0,76.0
300.0,614.0,226.0,262.0,395.0,430.0,263.0,530.0,432.0,978.0,479.0,360.0,259.0,625.0,419.0,244.0,70.0,84.0
300.0,614.0,226.0,262.0,395.0,430.0,263.0,530.0,432.0,978.0,479.0,360.0,259.0,625.0,419.0,244.0,70.0,84.0
300.0,614.0,226.0,262.0,395.0,430.0,263.0,530.0,432.0,978.0,479.0,360.0,259.0,625.0,419.0,244.0,70.0,84.0
337.0,654.0,257.0,291.0,420.0,497.0,282.0,536.0,475.0,1055.0,520.0,372.0,268.0,641.0,432.0,282.0,78.0,96.0
337.0,654.0,257.0,291.0,420.0,497.0,282.0,536.0,475.0,1055.0,520.0,372.0,268.0,641.0,432.0,282.0,78.0,96.0
337.0,654.0,257.0,291.0,420.0,497.0,282.0,536.0,475.0,1055.0,520.0,372.0,268.0,641.0,432.0,282.0,78.0,96.0
359.0,722.0,292.0,332.0,448.0,533.0,317.0,576.0,510.0,1135.0,560.0,390.0,288.0,668.0,471.0,316.0,87.0,111.0
359.0,722.0,292.0,332.0,448.0,533.0,317.0,576.0,510.0,1135.0,560.0,390.0,288.0,668.0,471.0,316.0,87.0,111.0
359.0,722.0,292.0,332.0,448.0,533.0,317.0,576.0,510.0,1135.0,560.0,390.0,288.0,668.0,471.0,316.0,87.0,111.0
359.0,722.0,292.0,332.0,448.0,533.0,317.0,576.0,510.0,1135.0,560.0,390.0,288.0,668.0,471.0,316.0,87.0,111.0
359.0,722.0,292.0,332.0,448.0,533.0,317.0,576.0,510.0,1135.0,560.0,390.0,288.0,668.0,471.0,316.0,87.0,111.0
359.0,722.0,292.0,332.0,448.0,533.0,317.0,576.0,510.0,1135.0,560.0,390.0,288.0,668.0,471.0,316.0,87.0,111.0
359.0,722.0,292.0,332.0,448.0,533.0,317.0,576.0,510.0,1135.0,560.0,390.0,288.0,668.0,471.0,316.0,87.0,111.0
359.0,722.0,292.0,332.0,448.0,533.0,317.0,576.0,510.0,1135.0,560.0,390.0,288.0,668.0,471.0,316.0,87.0,111.0
359.0,722.0,292.0,332.0,448.0,533.0,317.0,576.0,510.0,1135.0,560.0,390.0,288.0,668.0,471.0,316.0,87.0,111.0
388.0,828.0,353.0,421.0,514.0,559.0,389.0,666.0,583.0,1305.0,642.0,426.0,319.0,769.0,560.0,365.0,100.0,122.0
417.0,902.0,381.0,488.0,545.0,562.0,431.0,778.0,631.0,1375.0,700.0,460.0,329.0,805.0,596.0,379.0,107.0,126.0
